# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  115       3.862617836388e-10       1.172441582399e-13      -3.973550027533e-12       0.000000000000e+00       6.633126623932e-12       1.069374016177e-12      -5.752090547018e-15 
  116       3.903417586502e-10       1.185567794507e-13      -4.047136013382e-12       0.000000000000e+00       6.479250600354e-12       1.049955195867e-12      -5.728357702416e-15 
  117       3.944352137152e-10       1.198260363972e-13      -4.119771861889e-12       0.000000000000e+00       6.329553804505e-12       1.030998425295e-12      -5.695273313552e-15 
  118       3.985416582691e-10       1.210506534975e-13      -4.191391261921e-12       0.000000000000e+00       6.184048286645e-12       1.012507252757e-12      -5.653534755672e-15 
  119       4.026605262337e-10       1.222293840560e-13      -4.261927706224e-12       0.000000000000e+00       6.042722470556e-12       9.944824014846e-13      -5.603905897933e-15 
  120       4.067911735816e-10       1.233610115259e-13      -4.331314518358e-12       0.000000000000e+00       5.905540429509e-12       9.769216808416e-13      -5.547218608906e-15 
  121       4.109328759001e-10       1.244443507712e-13      -4.399484879621e-12       0.000000000000e+00       5.772441162227e-12       9.598198975302e-13      -5.484374262086e-15 
  122       4.150848259551e-10       1.254782493293e-13      -4.466371855983e-12       0.000000000000e+00       5.643337868844e-12       9.431687667921e-13      -5.416345241396e-15 
  123       4.192461312558e-10       1.264615886733e-13      -4.531908425009e-12       0.000000000000e+00       5.518117226877e-12       9.269568236118e-13      -5.344176446693e-15 
  124       4.234158116181e-10       1.273932854738e-13      -4.596027502795e-12       0.000000000000e+00       5.396638667183e-12       9.111693339186e-13      -5.268986799278e-15 
  125       4.275927967289e-10       1.282722928618e-13      -4.658661970893e-12       0.000000000000e+00       5.278733649925e-12       8.957882057897e-13      -5.191970747401e-15 
  126       4.317759237105e-10       1.290976016906e-13      -4.719744703241e-12       0.000000000000e+00       5.164204940536e-12       8.807919006525e-13      -5.114399771767e-15 
  127       4.359639346841e-10       1.298682417981e-13      -4.779208593095e-12       0.000000000000e+00       5.052825885685e-12       8.661553444873e-13      -5.037623891042e-15 
  128       4.401554743343e-10       1.305832832692e-13      -4.836986579953e-12       0.000000000000e+00       4.944339689237e-12       8.518498390302e-13      -4.963073167364e-15 
  129       4.443492266952e-10       1.312418773205e-13      -4.893012693342e-12       0.000000000000e+00       4.838514589827e-12       8.378491545428e-13      -4.891961496597e-15 
  130       4.485443476482e-10       1.318433813439e-13      -4.947225256435e-12       0.000000000000e+00       4.735317775189e-12       8.241487524252e-13      -4.824358042187e-15 
  131       4.527400754869e-10       1.323872500299e-13      -4.999564086400e-12       0.000000000000e+00       4.634759266979e-12       8.107485133551e-13      -4.760016307381e-15 
  132       4.569355945231e-10       1.328729985051e-13      -5.049969542919e-12       0.000000000000e+00       4.536837408518e-12       7.976467006205e-13      -4.698662100679e-15 
  133       4.611300336466e-10       1.333002038779e-13      -5.098382562389e-12       0.000000000000e+00       4.441538540770e-12       7.848399155559e-13      -4.639992910999e-15 
  134       4.653224648854e-10       1.336685067851e-13      -5.144744692137e-12       0.000000000000e+00       4.348836678320e-12       7.723230529772e-13      -4.583677282838e-15 
  135       4.695119019667e-10       1.339776129366e-13      -5.188998124614e-12       0.000000000000e+00       4.258693185345e-12       7.600892566179e-13      -4.529354191440e-15 
  136       4.736972988764e-10       1.342272946621e-13      -5.231085731609e-12       0.000000000000e+00       4.171056451592e-12       7.481298745646e-13      -4.476632417961e-15 
  137       4.778775484198e-10       1.344173924564e-13      -5.270951098450e-12       0.000000000000e+00       4.085861568351e-12       7.364344146925e-13      -4.425089924633e-15 
  138       4.820514807820e-10       1.345478165254e-13      -5.308538558214e-12       0.000000000000e+00       4.003030004435e-12       7.249905001013e-13      -4.374273229928e-15 
  139       4.862178620878e-10       1.346185483320e-13      -5.343793225925e-12       0.000000000000e+00       3.922469282150e-12       7.137838245505e-13      -4.323696783728e-15 
  140       4.903753929624e-10       1.346296421416e-13      -5.376661032768e-12       0.000000000000e+00       3.844072653271e-12       7.027981078956e-13      -4.272842342483e-15 
  141       4.945227070916e-10       1.345812265681e-13      -5.407088760287e-12       0.000000000000e+00       3.767718775021e-12       6.920150515230e-13      -4.221158344380e-15 
  142       4.986583697819e-10       1.344735061199e-13      -5.435024074596e-12       0.000000000000e+00       3.693271386044e-12       6.814142937865e-13      -4.168059284510e-15 
  143       5.027808765210e-10       1.343067627452e-13      -5.460415560582e-12       0.000000000000e+00       3.620578982379e-12       6.709733654422e-13      -4.112925090027e-15 
  144       5.068887744040e-10       1.340813678002e-13      -5.483213159592e-12       0.000000000000e+00       3.549506575625e-12       6.606730786516e-13      -4.055245316013e-15 
  145       5.109810429445e-10       1.337978160184e-13      -5.503369458914e-12       0.000000000000e+00       3.480035180172e-12       6.505143868472e-13      -3.995069073909e-15 
  146       5.150567482444e-10       1.334566978441e-13      -5.520838595039e-12       0.000000000000e+00       3.412171563781e-12       6.405031100472e-13      -3.932598478714e-15 
  147       5.191149227716e-10       1.330586909026e-13      -5.535575897790e-12       0.000000000000e+00       3.345916907704e-12       6.306446373221e-13      -3.868048016945e-15 
  148       5.231545646271e-10       1.326045616063e-13      -5.547537926853e-12       0.000000000000e+00       3.281266667046e-12       6.209439134580e-13      -3.801644754099e-15 
  149       5.271746368109e-10       1.320951667599e-13      -5.556682508296e-12       0.000000000000e+00       3.218210431112e-12       6.114054256199e-13      -3.733628542126e-15 
  150       5.311740664886e-10       1.315314551664e-13      -5.562968771097e-12       0.000000000000e+00       3.156731783771e-12       6.020331900141e-13      -3.664252226893e-15 
  151       5.351517442577e-10       1.309144692330e-13      -5.566357183666e-12       0.000000000000e+00       3.096808163805e-12       5.928307385520e-13      -3.593781855655e-15 
  152       5.391065234143e-10       1.302453465763e-13      -5.566809590371e-12       0.000000000000e+00       3.038410725269e-12       5.838011055125e-13      -3.522496884520e-15 
  153       5.430372192192e-10       1.295253216282e-13      -5.564289248059e-12       0.000000000000e+00       2.981504197844e-12       5.749468142054e-13      -3.450690385919e-15 
  154       5.469426081646e-10       1.287557272418e-13      -5.558760862586e-12       0.000000000000e+00       2.926046747195e-12       5.662698636344e-13      -3.378669256071e-15 
  155       5.508214272404e-10       1.279379962969e-13      -5.550190625337e-12       0.000000000000e+00       2.871989835326e-12       5.577717151601e-13      -3.306754422456e-15 
  156       5.546723732007e-10       1.270736633058e-13      -5.538546249751e-12       0.000000000000e+00       2.819278080933e-12       5.494532791630e-13      -3.235281051277e-15 
  157       5.584941018299e-10       1.261643660190e-13      -5.523797007846e-12       0.000000000000e+00       2.767849119766e-12       5.413149017068e-13      -3.164598754932e-15 
  158       5.622852272097e-10       1.252118470307e-13      -5.505913766743e-12       0.000000000000e+00       2.717633464976e-12       5.333563512009e-13      -3.095071799480e-15 
  159       5.660443209850e-10       1.242179553847e-13      -5.484869025192e-12       0.000000000000e+00       2.668554367479e-12       5.255768050641e-13      -3.027079312109e-15 
  160       5.697699116307e-10       1.231846481801e-13      -5.460636950093e-12       0.000000000000e+00       2.620527676306e-12       5.179748363873e-13      -2.961015488604e-15 
  161       5.734605868283e-10       1.221139479673e-13      -5.433193313637e-12       0.000000000000e+00       2.573479077311e-12       5.105485672864e-13      -2.897206585723e-15 
  162       5.771153123103e-10       1.210078073302e-13      -5.402515221798e-12       0.000000000000e+00       2.527397815604e-12       5.032961722015e-13      -2.835653213568e-15 
  163       5.807331399413e-10       1.198682353415e-13      -5.368581431522e-12       0.000000000000e+00       2.482287479169e-12       4.962153938240e-13      -2.776265543849e-15 
  164       5.843131068868e-10       1.186973420869e-13      -5.331372483732e-12       0.000000000000e+00       2.438148988592e-12       4.893033679398e-13      -2.718944301268e-15 
  165       5.878542353535e-10       1.174973400669e-13      -5.290870739400e-12       0.000000000000e+00       2.394980537367e-12       4.825566108591e-13      -2.663580588126e-15 
  166       5.913555323307e-10       1.162705455993e-13      -5.247060415607e-12       0.000000000000e+00       2.352777532215e-12       4.759710068465e-13      -2.610055708931e-15 
