# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   85       2.568074315422e-10       5.574566699292e-14      -1.258906617616e-12       1.983175220580e-16       1.239566982455e-11       2.414331078679e-12      -9.253663928802e-15 
   86       2.598051195052e-10       5.742622328228e-14      -1.320907574226e-12       2.030333121966e-16       1.203541751738e-11       2.356164089161e-12      -9.254961008520e-15 
   87       2.628279944474e-10       5.911965575006e-14      -1.383898946358e-12       2.078056946454e-16       1.168909861835e-11       2.299990156802e-12      -9.183237701365e-15 
   88       2.658763680242e-10       6.082480795707e-14      -1.447854821600e-12       2.126347417215e-16       1.135630720065e-11       2.245770709491e-12      -9.049236673502e-15 
   89       2.689503482231e-10       6.254048329065e-14      -1.512748615433e-12       2.175205285630e-16       1.103645581246e-11       2.193440639047e-12      -8.865000900729e-15 
   90       2.720498293921e-10       6.426544469631e-14      -1.578553090214e-12       2.224631332059e-16       1.072876857877e-11       2.142907261703e-12      -8.643913077221e-15 
   91       2.751744822682e-10       6.599841440918e-14      -1.645240374162e-12       2.274626366626e-16       1.043227430325e-11       2.094049278597e-12      -8.400735024273e-15 
   92       2.783237440054e-10       6.773807368565e-14      -1.712781980348e-12       2.325191229992e-16       1.014579957003e-11       2.046715736267e-12      -8.151647099045e-15 
   93       2.814970709148e-10       6.948308901262e-14      -1.781146458459e-12       2.376326976894e-16       9.868249296152e-12       2.000763908636e-12      -7.911196228467e-15 
   94       2.846947618234e-10       7.123219582751e-14      -1.850291904853e-12       2.428035456628e-16       9.599511638916e-12       1.956181718184e-12      -7.682529344036e-15 
   95       2.879172406883e-10       7.298412695201e-14      -1.920172355877e-12       2.480318821714e-16       9.339677065896e-12       1.912981890652e-12      -7.465757082904e-15 
   96       2.911647986381e-10       7.473758733002e-14      -1.990740041392e-12       2.533179356162e-16       9.088760118194e-12       1.871164175634e-12      -7.260911296048e-15 
   97       2.944375876080e-10       7.649125412268e-14      -2.061945371265e-12       2.586619478764e-16       8.846696458063e-12       1.830714841331e-12      -7.067942022214e-15 
   98       2.977356139740e-10       7.824377680335e-14      -2.133736921859e-12       2.640641746378e-16       8.613339916528e-12       1.791606169316e-12      -6.886714461869e-15 
   99       3.010587321875e-10       7.999377725266e-14      -2.206061422528e-12       2.695248857213e-16       8.388459541016e-12       1.753795949285e-12      -6.717005951146e-15 
  100       3.044066384096e-10       8.173984985349e-14      -2.278863742108e-12       2.750443654122e-16       8.171736642975e-12       1.717226973827e-12      -6.558502935796e-15 
  101       3.077788641459e-10       8.348056158600e-14      -2.352086875408e-12       2.806229127885e-16       7.962761845503e-12       1.681826533172e-12      -6.410797945135e-15 
  102       3.111747698807e-10       8.521445212264e-14      -2.425671929706e-12       2.862608420497e-16       7.761032130969e-12       1.647505909958e-12      -6.273386565993e-15 
  103       3.145935387115e-10       8.694003392314e-14      -2.499558111236e-12       2.919584828457e-16       7.565947888641e-12       1.614159873988e-12      -6.145664416659e-15 
  104       3.180341699837e-10       8.865579232958e-14      -2.573682711686e-12       2.977161806053e-16       7.376809962307e-12       1.581666176988e-12      -6.026924120836e-15 
  105       3.214957294266e-10       9.036022303049e-14      -2.647984466114e-12       3.035342981488e-16       7.192978030419e-12       1.549914301367e-12      -5.916469612574e-15 
  106       3.249781513790e-10       9.205194995787e-14      -2.722414167479e-12       3.094132200629e-16       7.014376235269e-12       1.518897174735e-12      -5.813982982201e-15 
  107       3.284815325635e-10       9.372962342096e-14      -2.796925454244e-12       3.153533495274e-16       6.841050037815e-12       1.488630845656e-12      -5.719201314823e-15 
  108       3.320058816180e-10       9.539188463852e-14      -2.871471588406e-12       3.213551074224e-16       6.673009731248e-12       1.459126138484e-12      -5.631802004810e-15 
  109       3.355511154959e-10       9.703736623670e-14      -2.946005478340e-12       3.274189326703e-16       6.510229228055e-12       1.430388463525e-12      -5.551400994765e-15 
  110       3.391170558657e-10       9.866469274691e-14      -3.020479701637e-12       3.335452825789e-16       6.352644847076e-12       1.402417627206e-12      -5.477551014500e-15 
  111       3.427034255115e-10       1.002724811038e-13      -3.094846527952e-12       3.397346331839e-16       6.200154100560e-12       1.375207642240e-12      -5.409739820006e-15 
  112       3.463098447325e-10       1.018593411432e-13      -3.169057941840e-12       3.459874795912e-16       6.052614481230e-12       1.348746537794e-12      -5.347388432428e-15 
  113       3.499358277434e-10       1.034238761000e-13      -3.243065665602e-12       3.523043363198e-16       5.909842249335e-12       1.323016169651e-12      -5.289849377035e-15 
  114       3.535807790742e-10       1.049646831059e-13      -3.316821182123e-12       3.586857376439e-16       5.771611219711e-12       1.297992030382e-12      -5.236404922194e-15 
  115       3.572439899702e-10       1.064803536875e-13      -3.390275757718e-12       3.651322379361e-16       5.637651548844e-12       1.273643059507e-12      -5.186265318344e-15 
  116       3.609246347921e-10       1.079694742645e-13      -3.463380464972e-12       3.716444120095e-16       5.507648521920e-12       1.249931453664e-12      -5.138567036966e-15 
  117       3.646217674160e-10       1.094306266468e-13      -3.536086205580e-12       3.782228554604e-16       5.381241339894e-12       1.226812476775e-12      -5.092371009557e-15 
